"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","AVG","G","PA","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","SLG","OBP","E","OPS"
"2024","69428","KBO-69428","삼성 라이온즈","이병헌","C","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69428","0.248","95","166","145","9","36","4","0","1","43","9","0","0","17","2","48","0","0.297","0.335","3","0.632"
"2024","69442","KBO-69442","삼성 라이온즈","김도환","C","삼성","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69442","0.000","1","3","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0.000","0.000","0","0.000"
"2024","69508","KBO-69508","롯데 자이언츠","신윤후","IF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69508","0.161","39","35","31","5","5","0","0","0","5","1","0","0","1","2","8","1","0.161","0.235","0","0.396"
"2024","69517","KBO-69517","롯데 자이언츠","고승민","IF","롯데","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69517","0.308","120","532","481","79","148","27","6","14","229","87","5","4","41","1","78","10","0.476","0.358","13","0.834"
"2024","69636","KBO-69636","KIA 타이거즈","오선우","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69636","0.286","3","7","7","0","2","0","0","0","2","1","0","0","0","0","3","0","0.286","0.286","1","0.572"
"2024","69727","KBO-69727","KIA 타이거즈","변우혁","IF","KIA","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69727","0.304","69","187","168","22","51","9","2","5","79","21","1","0","16","2","48","8","0.470","0.369","3","0.839"
"2024","69737","KBO-69737","한화 이글스","노시환","IF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69737","0.272","136","601","526","88","143","20","2","24","239","89","6","0","60","11","129","10","0.454","0.356","9","0.810"
"2024","69766","KBO-69766","한화 이글스","유로결","OF","한화","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69766","0.222","23","39","36","6","8","1","0","0","9","4","0","1","3","0","11","4","0.250","0.282","0","0.532"
"2024","69804","KBO-69804","SSG 랜더스","채현우","OF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69804","-","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","0",""
"2024","69813","KBO-69813","SSG 랜더스","하재훈","OF","SSG","1","https://www.koreabaseball.com/Record/Player/HitterDetail/Total.aspx?playerId=69813","0.248","107","317","290","40","72","19","0","10","121","36","15","2","18","2","90","5","0.417","0.292","7","0.709"
