"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","source_url","ERA","G","CG","SHO","W","L","SV","HLD","WPCT","TBF","IP","H","HR","BB","HBP","SO","R","ER","IP_OUTS","IP_DECIMAL","WHIP"
"2025","50812","KBO-50812","SSG 랜더스","박시후","P","SSG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50812","3.27","52","0","0","6","2","0","3","0.750","231","52 1/3","45","5","29","5","34","24","19","157","52.333","1.41"
"2025","50859","KBO-50859","KT 위즈","오원석","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50859","3.67","25","0","0","11","8","0","0","0.579","565","132 1/3","130","10","52","4","113","60","54","397","132.333","1.38"
"2025","50904","KBO-50904","LG 트윈스","이종준","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50904","0.00","2","0","0","0","0","0","0","-","6","1 2/3","0","0","1","0","2","0","0","5","1.667","0.60"
"2025","50992","KBO-50992","NC 다이노스","김태경","P","NC","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=50992","10.64","6","0","0","0","0","0","1","-","62","11","18","4","9","2","10","20","13","33","11.000","2.45"
"2025","51058","KBO-51058","KT 위즈","한차현","P","KT","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51058","16.20","2","0","0","0","0","0","0","-","11","1 2/3","4","0","2","0","1","3","3","5","1.667","3.60"
"2025","51111","KBO-51111","LG 트윈스","송승기","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51111","3.50","28","0","0","11","6","0","0","0.647","629","144","149","15","49","1","125","61","56","432","144.000","1.38"
"2025","51154","KBO-51154","LG 트윈스","김진수","P","LG","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51154","9.00","4","0","0","0","0","0","0","-","27","5","11","2","1","0","6","5","5","15","5.000","2.40"
"2025","51264","KBO-51264","두산 베어스","최승용","P","두산","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51264","4.41","23","0","0","5","7","0","0","0.417","507","116 1/3","121","8","36","6","71","60","57","349","116.333","1.35"
"2025","51299","KBO-51299","KT 위즈","김주완","P","","0","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51299","","","","","","","","","","","","","","","","","","","","",""
"2025","51454","KBO-51454","삼성 라이온즈","이승현","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51454","5.42","25","0","0","4","9","0","0","0.308","471","101 1/3","121","10","46","9","74","64","61","304","101.333","1.65"
"2025","51460","KBO-51460","삼성 라이온즈","이재희","P","삼성","1","https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=51460","3.00","11","0","0","0","2","0","4","0.000","39","9","7","0","5","0","9","3","3","27","9.000","1.33"
