"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","source_level","level_adjustment","PA","AB","SBA","OOB","PKO","contact","power","plate_discipline","bat_control","timing","bunt","speed","baserunning_judgment","contact_percentile","power_percentile","plate_discipline_percentile","bat_control_percentile","timing_percentile","speed_percentile","baserunning_judgment_percentile","adjusted_avg","adjusted_iso","adjusted_hr_rate","adjusted_bb_rate","adjusted_k_rate","adjusted_sba_rate","adjusted_sb_pct","adjusted_oob_rate","adjusted_pko_rate","batting_confidence","running_confidence","timing_source","timing_split_ab","fielding_range","catching","throwing_power","throwing_accuracy","fielding_judgment","composure","leadership","aggressiveness","formula_version"
"2025","68504","KBO-68504","KT 위즈","이호연","IF","KBO","0","75","70","0","2","0","12","11","9","11","11","4","10","10","0.6805","0.5713","0.3348","0.5807","0.6035","0.4036","0.4618","0.2954","0.1332","0.0177","0.0694","0.1921","0.0533","0.7488","0.0433","0.0027","low","very_low","kbo_pitcher_type_splits","70","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","78548","KBO-78548","KT 위즈","장성우","C","KBO","0","480","413","1","4","0","10","12","13","11","10","5","7","10","0.4305","0.7412","0.8133","0.5656","0.5264","0.1371","0.4807","0.2499","0.1319","0.0278","0.1106","0.1993","0.0262","0.6807","0.0274","0.0011","high","medium","kbo_pitcher_type_splits","413","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","64115","KBO-64115","KT 위즈","장준원","IF","KBO","0","154","140","0","0","1","9","9","9","12","10","9","9","10","0.2771","0.2546","0.2534","0.6612","0.4305","0.3460","0.5235","0.2301","0.0777","0.0122","0.0675","0.1835","0.0477","0.7488","0.0155","0.0140","medium","low","kbo_pitcher_type_splits","140","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","66706","KBO-66706","KT 위즈","장진혁","OF","KBO","0","157","139","1","0","1","9","11","10","8","9","8","10","10","0.2819","0.6170","0.4602","0.2451","0.3646","0.4891","0.5398","0.2310","0.1240","0.0237","0.0862","0.2553","0.0580","0.7716","0.0152","0.0137","medium","low","kbo_pitcher_type_splits","139","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","68089","KBO-68089","KT 위즈","조대현","C","KBO","0","90","75","0","0","0","9","9","10","10","10","10","10","10","0.3348","0.3574","0.4525","0.4108","0.4047","0.4102","0.5359","0.2298","0.0951","0.0111","0.0850","0.2190","0.0562","0.7488","0.0183","0.0028","low","very_low","kbo_pitcher_type_splits","75","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","51007","KBO-51007","KT 위즈","최성민","OF","KBO","0","21","19","1","0","0","10","10","10","10","10","4","10","10","0.4505","0.4742","0.4786","0.5018","0.4752","0.5112","0.5131","0.2371","0.1062","0.0174","0.0838","0.2034","0.0963","0.7716","0.0252","0.0039","very_low","very_low","kbo_pitcher_type_splits","19","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","79240","KBO-79240","KT 위즈","허경민","IF","KBO","0","481","420","5","4","0","13","7","10","15","12","6","8","11","0.7915","0.1663","0.3849","0.9125","0.6934","0.1789","0.6147","0.2793","0.0820","0.0105","0.0829","0.0940","0.0416","0.7658","0.0244","0.0009","high","medium","kbo_pitcher_type_splits","420","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","76313","KBO-76313","KT 위즈","황재균","IF","KBO","0","424","385","4","6","0","12","10","10","11","12","4","8","10","0.7446","0.3834","0.3761","0.5784","0.6504","0.2147","0.4855","0.2726","0.1085","0.0174","0.0823","0.1977","0.0438","0.7491","0.0397","0.0011","high","medium","kbo_pitcher_type_splits","385","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","69100","KBO-69100","LG 트윈스","구본혁","IF","KBO","0","397","343","15","2","1","13","7","11","14","12","15","12","10","0.7903","0.1508","0.5914","0.8727","0.6863","0.7414","0.4270","0.2804","0.0805","0.0062","0.0908","0.1280","0.1011","0.6995","0.0176","0.0064","high","medium","kbo_pitcher_type_splits","343","","","","","","","","","kbo-hitter-abilities-v2-compressed"
"2025","64793","KBO-64793","LG 트윈스","김민수","IF","FUTURES","-2","38","27","0","","","8","8","8","8","8","1","8","8","0.5325","0.4489","0.4900","0.5030","0.5207","0.4581","0.5000","0.2996","0.1297","0.0159","0.1155","0.1681","0.0635","0.6957","","","low","very_low","futures_contact_k_proxy","0","","","","","","","","","kbo-hitter-abilities-v2-compressed"
