"search_name","candidate_status","kbo_player_id","name","team_id","team_name","position_name","bats_throws","profile_link","source_url"
"김도현","now","52844","김도현","SK","SSG","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=52844","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도현","retire","61360","김도현","KT","KT","외야수","우투우타","/Record/Retire/Hitter.aspx?playerId=61360","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도환","now","69442","김도환","SS","삼성","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=69442","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도환","retire","50116","김도환","LG","LG","외야수","좌투좌타","/Record/Retire/Hitter.aspx?playerId=50116","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김도환","retire","63902","김도환","NC","고양","포수","우투우타","/Record/Retire/Hitter.aspx?playerId=63902","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동규","now","69592","김동규","LT","롯데","내야수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=69592","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동규","now","53164","김동규","WO","키움","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=53164","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동규","retire","75832","김동규","NC","NC","내야수","우투좌타","/Record/Retire/Hitter.aspx?playerId=75832","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동엽","now","66838","김동엽","UL","울산","외야수","우투우타","/Futures/Player/HitterDetail.aspx?playerId=66838","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동준","now","52267","김동준","OB","두산","내야수","좌투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=52267","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동헌","now","53344","김동헌","WO","키움","포수","우투우타","/Record/Player/HitterDetail/Basic.aspx?playerId=53344","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동혁","now","50360","김동혁","WO","고양","투수","우언우타","/Futures/Player/PitcherDetail.aspx?playerId=50360","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동혁","now","52504","김동혁","LT","롯데","외야수","좌투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=52504","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동현","now","55040","김동현","KT","KT","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=55040","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동현","now","56143","김동현","LG","LG","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=56143","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동현","now","55502","김동현","LT","롯데","외야수","우투좌타","/Record/Player/HitterDetail/Basic.aspx?playerId=55502","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동현","retire","89211","김동현","OB","OB","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=89211","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김동현","retire","75349","김동현","HD","현대","투수","우투우타","/Record/Retire/Pitcher.aspx?playerId=75349","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김명신","now","67246","김명신","OB","두산","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=67246","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김무신","now","68403","김무신","SS","삼성","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=68403","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
"김민","now","68043","김민","SK","SSG","투수","우투우타","/Record/Player/PitcherDetail/Basic.aspx?playerId=68043","https://www.koreabaseball.com/ws/Controls.asmx/GetSearchPlayer"
