"snapshot_date","kbo_player_id","player_uid","team","name","profile_name","position_group","position_name","birth_date","age","bats_throws","height_cm","weight_kg","career","is_rookie","is_foreign","membership_source","last_movement_date","last_movement_type","source_note","source_url"
"2025-10-31","55393","KBO-55393","키움 히어로즈","여동욱","여동욱","IF","내야수","2005-11-10","19","우투우타","180","90","남도초-협성경복중-대구상원고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55393"
"2025-10-31","55339","KBO-55339","키움 히어로즈","염승원","염승원","IF","내야수","2006-03-20","19","우투좌타","180","78","고명초-휘문중-휘문고","0","0","movement","2025-08-01","소속선수 추가 등록","육성선수 말소","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55339"
"2025-10-31","78756","KBO-78756","키움 히어로즈","오선진","오선진","IF","내야수","1989-07-07","36","우투우타","178","80","화곡초-성남중-성남고-한화-상무-한화-삼성-한화-롯데","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=78756"
"2025-10-31","75566","KBO-75566","키움 히어로즈","이원석","이원석","IF","내야수","1986-10-21","39","우투우타","181","82","학강초-광주동성중-광주동성고-(세민디지털대)-롯데-두산-상무-두산-삼성-키움","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=75566"
"2025-10-31","54305","KBO-54305","키움 히어로즈","이재상","이재상","IF","내야수","2005-04-17","20","우투우타","183","85","갈산초-성남중-성남고","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=54305"
"2025-10-31","51302","KBO-51302","키움 히어로즈","이주형","이주형","IF","내야수","2002-07-05","23","좌투좌타","183","105","이매초-매송중-야탑고-키움-상무","0","0","opening_roster","","","2002. 7. 5.","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=51302"
"2025-10-31","55397","KBO-55397","키움 히어로즈","전태현","전태현","IF","내야수","2006-03-02","19","우투좌타","180","82","양덕초-마산동중-용마고","1","0","opening_roster","","","신인","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55397"
"2025-10-31","76267","KBO-76267","키움 히어로즈","최주환","최주환","IF","내야수","1988-02-28","37","우투좌타","177","73","학강초-광주동성중-광주동성고-두산-상무-두산-SK-SSG","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=76267"
"2025-10-31","66838","KBO-66838","키움 히어로즈","김동엽","김동엽","OF","외야수","1990-07-24","35","우투우타","186","101","천안남산초-천안북중-북일고-SK-삼성-키움","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=66838"
"2025-10-31","52305","KBO-52305","키움 히어로즈","박수종","박수종","OF","외야수","1999-02-25","26","우투우타","178","82","도신초-강남중-충암고-경성대","0","0","opening_roster","","","","https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=52305"
