"season","kbo_player_id","player_uid","snapshot_team","player_name","position_group","record_team","has_record","G","SBA","SB","CS","SB_PCT","OOB","PKO","source_url"
"2025","54806","KBO-54806","SSG 랜더스","이승민","OF","SSG","1","2","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54810","KBO-54810","SSG 랜더스","김규민","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54812","KBO-54812","SSG 랜더스","정준재","IF","SSG","1","132","45","37","8","82.2","4","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54905","KBO-54905","NC 다이노스","김세훈","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54908","KBO-54908","NC 다이노스","고승완","OF","NC","1","17","3","2","1","66.7","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","54944","KBO-54944","NC 다이노스","데이비슨","IF","NC","1","112","1","1","0","100","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55004","KBO-55004","KT 위즈","박민석","OF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55005","KBO-55005","KT 위즈","오서진","IF","KT","1","3","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55013","KBO-55013","KT 위즈","스티븐슨","OF","KT","1","39","2","2","0","100","5","1","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55100","KBO-55100","LG 트윈스","이한림","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55160","KBO-55160","LG 트윈스","서영준","OF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55164","KBO-55164","LG 트윈스","박관우","OF","LG","1","39","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55165","KBO-55165","LG 트윈스","이태훈","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55208","KBO-55208","두산 베어스","케이브","OF","두산","1","136","18","17","1","94.4","8","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55216","KBO-55216","두산 베어스","김성재","C","두산","1","1","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55224","KBO-55224","두산 베어스","이선우","IF","두산","1","10","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55226","KBO-55226","두산 베어스","김준상","IF","두산","1","9","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55252","KBO-55252","두산 베어스","박준순","IF","두산","1","91","12","10","2","83.3","5","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55339","KBO-55339","키움 히어로즈","염승원","IF","키움","1","11","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55370","KBO-55370","키움 히어로즈","양현종","IF","키움","1","12","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55371","KBO-55371","키움 히어로즈","권혁빈","IF","키움","1","22","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55392","KBO-55392","키움 히어로즈","어준서","IF","키움","1","116","1","1","0","100","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55393","KBO-55393","키움 히어로즈","여동욱","IF","키움","1","28","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55397","KBO-55397","키움 히어로즈","전태현","IF","키움","1","77","4","4","0","100","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55435","KBO-55435","삼성 라이온즈","차승준","IF","삼성","1","1","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55438","KBO-55438","삼성 라이온즈","심재훈","IF","삼성","1","31","4","3","1","75.0","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55440","KBO-55440","삼성 라이온즈","함수호","OF","삼성","1","6","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55502","KBO-55502","롯데 자이언츠","김동현","OF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55506","KBO-55506","롯데 자이언츠","한승현","OF","롯데","1","19","2","1","1","50.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55509","KBO-55509","롯데 자이언츠","박건우","C","롯데","1","6","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55511","KBO-55511","롯데 자이언츠","이태경","IF","롯데","1","2","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55530","KBO-55530","롯데 자이언츠","박찬형","IF","롯데","1","48","2","1","1","50.0","4","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55563","KBO-55563","롯데 자이언츠","박재엽","C","롯데","1","9","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55636","KBO-55636","KIA 타이거즈","박재현","OF","KIA","1","58","7","4","3","57.1","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55637","KBO-55637","KIA 타이거즈","박헌","OF","KIA","1","8","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55645","KBO-55645","KIA 타이거즈","위즈덤","IF","KIA","1","119","3","3","0","100","0","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55703","KBO-55703","한화 이글스","리베라토","OF","한화","1","62","1","1","0","100","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55710","KBO-55710","한화 이글스","이민재","OF","한화","1","3","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55767","KBO-55767","한화 이글스","한지윤","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55798","KBO-55798","한화 이글스","배승수","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55832","KBO-55832","SSG 랜더스","이율예","C","SSG","1","8","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55894","KBO-55894","SSG 랜더스","최윤석","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55897","KBO-55897","SSG 랜더스","홍대인","IF","SSG","1","14","2","1","1","50.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55926","KBO-55926","KIA 타이거즈","정현창","IF","KIA","1","16","1","0","1","0.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","55993","KBO-55993","NC 다이노스","장창훈","IF","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","60523","KBO-60523","롯데 자이언츠","정훈","IF","롯데","1","77","0","0","0","-","1","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","60558","KBO-60558","SSG 랜더스","오태곤","OF","SSG","1","122","33","25","8","75.8","2","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","61102","KBO-61102","롯데 자이언츠","유강남","C","롯데","1","110","0","0","0","-","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","61353","KBO-61353","KIA 타이거즈","고종욱","OF","KIA","1","46","3","2","1","66.7","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","61404","KBO-61404","삼성 라이온즈","김헌곤","OF","삼성","1","77","3","2","1","66.7","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62234","KBO-62234","삼성 라이온즈","류지혁","IF","삼성","1","129","17","11","6","64.7","11","2","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62244","KBO-62244","NC 다이노스","박세혁","C","NC","1","48","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62332","KBO-62332","키움 히어로즈","김재현","C","키움","1","62","1","1","0","100","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62404","KBO-62404","삼성 라이온즈","구자욱","OF","삼성","1","142","5","4","1","80.0","7","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62415","KBO-62415","LG 트윈스","박해민","OF","LG","1","144","63","49","14","77.8","5","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62558","KBO-62558","LG 트윈스","김준태","C","LG","1","2","0","0","0","-","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62700","KBO-62700","한화 이글스","하주석","IF","한화","1","95","3","2","1","66.7","3","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62802","KBO-62802","롯데 자이언츠","박승욱","IF","롯데","1","54","2","1","1","50.0","0","0","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
"2025","62864","KBO-62864","SSG 랜더스","김민식","C","","0","","","","","","","","https://www.koreabaseball.com/Record/Player/Runner/Basic.aspx"
