"snapshot_date","team","roster_date","kbo_player_id","name","position_group","uniform_number","source_url"
"2025-10-31","롯데 자이언츠","2025-09-30","68518","정보근","C","42","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","69517","고승민","IF","2","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","77564","김민성","IF","16","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","51551","나승엽","IF","51","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","62931","노진혁","IF","52","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","62802","박승욱","IF","53","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","55530","박찬형","IF","60","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","50150","손호영","IF","33","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","54598","이호준","IF","30","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","68205","전민재","IF","13","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","60523","정훈","IF","9","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","52568","한태양","IF","6","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","52504","김동혁","OF","50","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","54529","레이예스","OF","29","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","68507","장두성","OF","7","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","78513","전준우","OF","8","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","50500","황성빈","OF","0","https://www.koreabaseball.com/Player/RegisterAll.aspx"
"2025-10-31","롯데 자이언츠","2025-09-30","55532","감보아","P","32","https://www.koreabaseball.com/Player/RegisterAll.aspx"
