"season","game_date","game_id","start_time","away_team","away_score","home_team","home_score","stadium","source_url"
"2025","2025-08-14","20250814HTSS0","18:30","KIA","10","삼성","4","대구","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250814&gameId=20250814HTSS0&section=REVIEW"
"2025","2025-08-14","20250814LTHH0","18:30","롯데","4","한화","5","대전","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250814&gameId=20250814LTHH0&section=REVIEW"
"2025","2025-08-14","20250814NCOB0","18:30","NC","5","두산","6","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250814&gameId=20250814NCOB0&section=REVIEW"
"2025","2025-08-14","20250814WOSK0","18:30","키움","2","SSG","0","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250814&gameId=20250814WOSK0&section=REVIEW"
"2025","2025-08-15","20250815HHNC0","18:00","한화","9","NC","2","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250815&gameId=20250815HHNC0&section=REVIEW"
"2025","2025-08-15","20250815HTOB0","18:00","KIA","5","두산","6","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250815&gameId=20250815HTOB0&section=REVIEW"
"2025","2025-08-15","20250815KTWO0","18:00","KT","3","키움","7","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250815&gameId=20250815KTWO0&section=REVIEW"
"2025","2025-08-15","20250815LGSK0","18:00","LG","5","SSG","3","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250815&gameId=20250815LGSK0&section=REVIEW"
"2025","2025-08-15","20250815SSLT0","18:00","삼성","10","롯데","4","사직","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250815&gameId=20250815SSLT0&section=REVIEW"
"2025","2025-08-16","20250816HHNC0","18:00","한화","6","NC","9","창원","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250816&gameId=20250816HHNC0&section=REVIEW"
"2025","2025-08-16","20250816HTOB0","18:00","KIA","3","두산","4","잠실","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250816&gameId=20250816HTOB0&section=REVIEW"
"2025","2025-08-16","20250816KTWO0","18:00","KT","3","키움","4","고척","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250816&gameId=20250816KTWO0&section=REVIEW"
"2025","2025-08-16","20250816LGSK0","18:00","LG","7","SSG","10","문학","https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20250816&gameId=20250816LGSK0&section=REVIEW"
